이미지URL,상품명,가격,행사유형,행사분류
https://image.woodongs.com/imgsvr/item/GD_8809041427065_005.jpg,OKF)알로에베라킹500ML,"2,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8806002010861_866.jpg,광동)헛개파워100ML,"5,000",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809556566891_001.jpg,서영)모닝이즈백100ML,"5,000",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8806004000723_001.jpg,현대내츄럴)에너린150ML,"1,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8806004407133_139.jpg,현대)미에로화이바350ML,"2,200",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8808024031923_002.jpg,쟈뎅)청보리차1.5L,"3,400",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8808024030803_001.jpg,쟈뎅)청보리차500ML,"2,000",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809713918907_002.jpg,땡모반)수박스파클링350ML,"2,000",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809329050015_019.jpg,천지개벽)숙취해소음료100ML,"5,000",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8806006500771_002.jpg,유한양행)내일N100ML,"5,000",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801001238438_001.jpg,하이트)블랙보리다크로스트520ML,"2,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801001238056_002.jpg,하이트)블랙보리1.5L,"3,100",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801033808913_001.jpg,정식품)베지밀고단백초코190ML,"1,800",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801007955551_001.jpg,CJ)한뿌리홍삼대보100ML,"5,000",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801392028014_001.jpg,CJ)한뿌리흑삼아르기닌100ML,"5,000",1+1,1+1 행사
